Aerolinea,Origen,Destino,Número de vuelos,Precio medio,Duración media del vuelo,Número promedio de escalas,Promedio días de antelación,Porcentaje de vuelos business,Número de vuelos_log,Precio medio_log,Duración media del vuelo_log,Promedio días de antelación_log,Número de vuelos_log_log,Precio medio_log_log,Duración media del vuelo_log_log,Promedio días de antelación_log_log
AirAsia,Kolkata,Delhi,843,49.10710201660682,10.605733475682042,1.062870699881376,27.448398576512457,0.0,6.738152494595957,3.91416275486277,2.4514992411485403,3.348091869937523,2.0461629633206257,1.5921213941982053,1.238808699300016,1.4697370982762044
AirAsia,Hyderabad,Bangalore,340,36.017982352941175,5.358088882352923,0.5529411764705883,25.323529411764707,0.0,5.831882477283517,3.6114038041187912,1.8497278419997243,3.270463193658694,1.9216002545355522,1.5285323234779702,1.047223495685529,1.4517222976240816
SpiceJet,Delhi,Mumbai,512,51.1432734375,8.083610058593745,0.51171875,22.853515625,0.0,6.240275845170769,3.953995188228185,2.2064716971433733,3.171931612131581,1.9796593058335408,1.600194359776463,1.1651711728543908,1.4283791448976497
GO FIRST,Ahmedabad,Bangalore,23,123.60604347826086,5.099999130434783,0.8260869565217391,1.5217391304347827,0.0,3.1780538303479458,4.82515710821292,1.8082886286275806,0.9249487946172696,1.4298455472897516,1.7621859704550684,1.032575268854028,0.654899367187135
SpiceJet,Delhi,Bangalore,634,74.90231545741318,12.879955315457453,0.7397476340694007,25.116719242902207,0.0,6.453624998892692,4.329447190621551,2.6304457357260307,3.262575693261525,2.008700491083826,1.673247516217494,1.2893554329494408,1.4498736004018826
GO FIRST,Mumbai,Bangalore,8,53.392624999999995,1.5958575000000002,0.25,1.5,0.0,2.1972245773362196,3.9962285748185327,0.9539169051934584,0.9162907318741551,1.1622831138840004,1.6086833427817189,0.6698360272268268,0.65039140701146
GO FIRST,Ahmedabad,Kolkata,13,140.50469230769232,4.906409230769231,0.8461538461538461,1.5384615384615383,0.0,2.639057329615259,4.952332877718577,1.7760380716034692,0.9315582040049435,1.2917246727283112,1.7837832230029838,1.0210247571050783,0.6583270367654097
GO FIRST,Delhi,Bangalore,36,114.81280555555554,2.2310194444444447,0.8888888888888888,1.5277777777777777,0.0,3.6109179126442243,4.751975142406312,1.1727977049129077,0.9273405680607401,1.52842695055997,1.749543298852786,0.7760156021008038,0.6561411086689509
GO FIRST,Delhi,Chennai,7,113.68657142857143,1.1321414285714286,1.0,1.4285714285714286,0.0,2.0794415416798357,4.742202941680495,0.7571268402063777,0.8873031950009028,1.1247482629090362,1.7478429244530096,0.5636799979518099,0.6351489291556134
AirAsia,Bangalore,Delhi,1621,54.37213448488539,7.891826014805629,0.9821098087600246,26.045033929673043,0.0,7.3914152346753585,4.014076479575075,2.1851324294244274,3.297503399886221,2.127209187383416,1.6122492528258108,1.1584938672568914,1.4580342494057286
GO FIRST,Bangalore,Ahmedabad,18,78.39822222222222,2.6361066666666666,0.7777777777777778,1.5,0.0,2.9444389791664403,4.374475977854092,1.2909135121518927,0.9162907318741551,1.372306733580753,1.6816610767687625,0.8289506516247169,0.65039140701146
AirAsia,Bangalore,Mumbai,636,36.760726415094396,8.24444443396225,0.9040880503144654,27.82389937106918,0.0,6.456769655572163,3.6312695787801395,2.2240227693570525,3.3612048822888925,2.0091222983932866,1.5328310375901961,1.1706298870751042,1.4727483683323788
GO FIRST,Bangalore,Mumbai,9,70.96711111111111,1.3694433333333333,0.33333333333333337,1.4444444444444444,0.0,2.302585092994046,4.2762092245322085,0.8626550471082365,0.8938178760220965,1.1947055233182953,1.6632078899695155,0.6220029145762804,0.638594831757108
AirAsia,Mumbai,Chennai,228,33.821355263157585,9.499707587719277,1.0,28.80263157894737,0.0,5.43372200355424,3.5502308555572606,2.3513474079870527,3.3945966976308033,1.8615532204780585,1.5151779691608687,1.2093624763110955,1.480375763020046
AirAsia,Hyderabad,Chennai,162,33.63303703703713,7.829526790123459,0.7037037037037037,23.679012345679013,0.0,5.093750200806762,3.544808054165744,2.178101422027315,3.2059531798279615,1.8072636887169242,1.5139854944308662,1.156283981396138,1.4365009454610511
GO FIRST,Mumbai,Kolkata,16,91.0064375,5.794791249999999,0.875,1.5,0.0,2.833213344056216,4.5218585474271435,1.9161563260127343,0.9162907318741551,1.3437034446606386,1.708714496994992,1.0702664224531968,0.65039140701146
SpiceJet,Bangalore,Ahmedabad,5,77.8338,1.993332,1.0,1.4,0.0,1.791759469228055,4.36734183890809,1.096387148211601,0.8754687373538999,1.026672031199051,1.6803327839012736,0.7402154575185738,0.6288586214346804
SpiceJet,Ahmedabad,Delhi,4,107.2885,9.852092500000001,0.75,1.5,0.0,1.6094379124341003,4.684798961849829,2.3843579185347776,0.9162907318741551,0.9591348389208239,1.737795763666017,1.2191642040394757,0.65039140701146
